block_id	hash	time	size	is_overwintered	version	version_group_id	expiry_height	lock_time	is_coinbase	input_count	output_count	input_total	input_total_usd	output_total	output_total_usd	fee	fee_usd	fee_per_kb	fee_per_kb_usd	cdd_total	shielded_value_delta	join_split_raw	shielded_input_raw	shielded_output_raw	binding_signature
2061099	a86b3a48062f66100c48695aca9ee07a610f167316b78800346d90ad073b0a86	2023-04-23 00:00:11	205	1	4	892f2085	2061099	0	1	1	4	0	0	312506558	118.0962	0	0	0	0	0	0	[]	[]	[]	\N
2061099	c18500aae0d70b29cddb1340ff7086b9a391fa2eec17597fbacafa817f51406e	2023-04-23 00:00:11	9312	1	5	26a7270a	2061139	0	0	1	0	1342400000	507.293	\N	\N	1342400000	507.293	144158080	54.4773	0.30390444444444	0	[]	[]	[]	\N
2061099	6539d2fe97ccf0f0079b5bfac03db7398e7bc3b50ba667f3acff4b28ce5e060d	2023-04-23 00:00:11	2558	1	5	26a7270a	2061148	0	0	1	1	89999000	34.0106	9998000	3.7782	1000	0.0004	390.93042	0.0001	0.029947583912037	80000000	[]	[{"cv": "880f4289cc93b214db2ac0aa4aa9806ac44d92dd023dfba6a758fde4ec8bd4f0", "rk": "5aa9017df4e93950b0595ce6f0521be3e8c564b8a0ca8f6684433f00ba46daee", "proof": "8fdcbdb674d5b96a5542da99651c0c5b69f764b03b1aac8c17f9644d5dded2234a92d72fcc46988b7d0ec8f34825d5b4a7a5c39c81e9ca6ca563f8b2ab0bd8153087cb55ab94cffb444b32eedaee2ee0db0bb623b3b85cca1e1ece552dbaa8f20c91f064a796780521ae7f23d2d83b6400de6ec0410161bebdca654a07932a124fbba511e123715f3a7c947a95350226919b9b22fddc9e64150934ca7326ce3fd87ab9ce4691b3f416463089857f6f27b5d23d40039ecaee6c838767ec61b4a7", "anchor": "098816df211d574cd73b84fc61ae029f157f7a26bdbf2e2fd9aee5f86e2fbc88", "nullifier": "53ba39807a84d3db7c964ed81b40dfca7232b9220be33fb9938bf66c16de3121", "spendAuthSig": "4cf7a0f49709bc4bbc9c1616e38b73598af5a68526d9f66074f35bbd356a0bdcde5511a3060ee1e329c32d46a11cbc326d2cb065152faf18e8740985d7feff0a"}]	[{"cv": "195a99231345cebb3521945e358851112a5190496e3ab59cfaf8a436f4b30ab5", "cmu": "1b478f377530780696f3607aed70e4ad721b09865765949f61d4ee6cb9c5f0d7", "proof": "a8579643bd6dcc881ef577355dde53b11283f659ffd0628723d8db17dedb302dae21d95b56b6ea5ff71f93880b4efe7d98fd89a1b312ce0210fcefbaaaac99fe74f6c58957008332feb59bc0fedfbe4066dae83613ee6c3f84731ecf0ceeee8d0a8fa362c48fdfd24e3adaa28ff3a5f6ea91f9fb68d7ba1340c3c1b0c0eeaa737d62f38adbd48605cef690658aee7676aa30f23b5a71b8216c18b3810d929d9580a7e6c403d815d3206c0af2c8323745ce6032d5b5c94be550a3b896c81e4e7a", "ephemeralKey": "53ae15f4a665b5a77415c925d0b70b48761da51260baabac2f38e9fe778a7c01", "encCiphertext": "7ac31c998c2fde57b61ba3b787cf2fb7d0ef6be6c5f1cc7cadd680c371a4c3b099393577b8a1466894868d22b8caa09b940f5fa49749cfa796ac991d19ea5b96997aa31537e7fb6b3109d18b423d0197023accebb51c1a5a254060ec05afaf5ed4d70eb6d23e803c481efff14cb326755af46fe63bb5620615d04b16720db2179a05442d9a6d3e612d93f70e46b87ae485c4b5c24d4a9707d3ee41408fd68c78c2934834c626112bebf726f25b913951d4f3051e74b980c393792ddcaf8bcb10f0522b439f22df38e1092ebeeb5d1941d72054fd741b834d32f6919c27b08f0a46172c19db306ca525640aa885cc15a783296fc5bc6d090c0a0a2febdf3319eb297291970e5cd76f162f4d5faaa509912081ce8c0403623201f22db86375e135f8f18bc78ef82dacf97188be97ce1a829c6bdb2f0e99cbe87384cf32d447ff0382ce53b187cff594ce0f0187b4d60ee6a1256f87f464162754d8a70f3c4bde653a193d1474ff9dc410da5c6bec331b03ae2c109495fbe0e32a9066c7e4be6073c3d491555f3e97192e7d6ad327b5ed5f15818e5d746f6b7fee635c6993212e2fb588285669b226d14ad65e2e96d9bbbc59157e8215e20b2134b2a181ea0ade6c3cc32e6e73e4236b3cfa6cb018a890374cb1dfa8398ac556a10ef1747ae970bbf1add4b05653c0fd24c93b8af00e7b1ff1cd01e4b0c7dedfb782ef95c9fa70f54731b37eba5ae406e4877263e08be37c37b2575b1bbe9cafaa929303e3b4701827a5df5b43ebc436b4804304640a6d90b4279d0391346b94a784277c32201844289be731", "outCiphertext": "cfbf4a56c7d33834f077765c175c7082e5d2e0b51a6da3b30e5e0d032ff845f91c73b1fbc06e93fd7cec52c4e007a7e54e84d3522478c63f1750aebaf972f3e30b86967d7e8b31b6be63c32ebb13656d"}, {"cv": "6faa2951e5ad6e68e9b9381eb05cbced7a077fd789cc946bbe6a34a47bafd1c6", "cmu": "0a617c07142b4e64172f5ce2048e970716a384bbfb01119123bc410fbea74a15", "proof": "a6324ff12e7751f7944e868d4adc269d55c09ad4816ec996a004e896fa441e71151a3ac33166bcbb3abec64585216d8799533ca6d9c8624acc6905d6529edd45778732bd9b99fe6399c3126873973124ce51ace6771738ca8a0e9dbbd6ce81a81699a75ce05003a1d84fe8c95676efebe65c7b8ef2bfb064452f2cf6763863f7c283761e9d07c05ff052f38fa0527d8e920fe172a59d084fa9382068e3eb47abce1ea45c9b75d4007095bfbdff3c43a5c8729dd1c34379a220b22c9d1b310269", "ephemeralKey": "2d64c45aa71affaf80616804deb40b2cbc2a9baba09953f2f198db52db20975e", "encCiphertext": "7d2d3e9bb69ee86cd9901fbeba8fe098e1d043c9ded71900af1d78a35d454771e9b2f2d279eb73b131a583e5d75e371fe4199e09d3f4f6c8e20b7dc1a24e7c58f945f5f1bee9b523a33996dce851482a11413bfcae0ddb409ec548b155ffb0a2a74324ae5749cdf5cc413a7946f9ad03b01d0f88635eaa4516f7c81996fbee250d94b9e90483b5334118364d8d2937f721d2a3e1998601e268be9abdf81ad817ff9c4d4c3c0e6236952459e28d732fde44c4e35a58fd88408b09071af46c2ace67db23ec570d216e5f317b9b0af4d27474f8fb965996990f1fe16b4232f09adaac786ca354c4bb91564f4dda6adf3f20ed24cca2a62c6c850c3c24d804a56d82673de58ecbd0fd034cc90be67aa0f852aed8efcb01d37b9e960ec7f69680e56b25457bcaa7bc4c72dacd13c4a0a5471d6cac03aa7356bf4ef9cdb0929dca051a0e1e6a7f23ce4bcaf07f358b04c4532977e0852101b6f1bd18fbb346b0cebffcf4bf8d69f28558400209af5caf8a822b5a21e6fafcd44de29952504cc34e358fca7d2abbdb5abf05561188fca1c8f4d72549e394e70bc95723d9f6ce4da02ae5e55dee3db99336b361686fd6bb5e9a338307fe663048fc1db9ebef73fc01edc2a82174624c169ca5781f0da49cb8d7b9f9d17b1d40f68db4321f43f632f41d0b8100c3cb45782cd09f58684b531794f0203154762b5305aa56be883d8a8826b90e96f46585ba39c43bf905fcdf6ca21a9f944bc1825c6ddf88d45f31977a52b15b2175dcc1c46c7dec1c9bed65aa8cc742cfe20ea12697e45078c9225fea6d516003f73b", "outCiphertext": "914786a548f4416ef98e8817f7a747a9b2ae63585992f191b0c5e77c1b810dc2b3ea76107a47bcbb7799a169dda76055a553f17f669e955af595e64d35c65862c042789eca117cc70631e77217cc9698"}]	d8835e4eb41b5d1b9ee80525f0eababdd4736d8c0c69c05a200e89429b185ca27d70f8a30075b8f0bfdbeee41c0f0ce1bd44e09dc8f5af04c8a221b9e28a3300
2061099	77a8afbba359b4937cad04af005de74f2c07097d5e0e1367e1d9a777a206a5da	2023-04-23 00:00:11	4018	1	4	892f2085	2061139	2061088	0	1	113	1172154044	442.957	1172150026	442.9555	4018	0.0015	1000	0.0004	0.076515611205556	0	[]	[]	[]	\N
2061099	3785d6aeb672e4505ce012be8e551cb70f974af3374f2cc5ed783a260b77378b	2023-04-23 00:00:11	540	1	4	892f2085	2061135	2061084	0	3	2	7172795	2.7106	7172255	2.7104	540	0.0002	1000	0.0004	0.00088403249039352	0	[]	[]	[]	\N
2061100	bdedfa85406486013cb5a9008b342cc6c9d770f544f0afda1a3e12ddca354580	2023-04-23 00:03:36	205	1	4	892f2085	2061100	0	1	1	4	0	0	312525659	118.1034	0	0	0	0	0	0	[]	[]	[]	\N
2061100	d85bb836f2d1ec34dc45c1a7b55ce38ab73981d598a5c756e11a0778730a4ebb	2023-04-23 00:03:36	9313	1	5	26a7270a	2061140	0	0	1	0	33103367000	12509.7627	\N	\N	33103367000	12509.7627	3554533000	1343.2581	3.1609117795139	0	[]	[]	[]	\N
2061100	eb6be99472b51c9445ab2bbf7f1857b4ac6a3fad7fb4ba144d5e96de5c434478	2023-04-23 00:03:36	9313	1	5	26a7270a	2061140	0	0	1	0	6520982307	2464.2793	\N	\N	6520982307	2464.2793	700202100	264.6064	2.0045982647444	0	[]	[]	[]	\N
2061100	1bb47434bba0633407db2046b3912f22b8121db9d627c8cdf5b184908c91a01a	2023-04-23 00:03:36	1337	1	4	892f2085	2061140	0	0	2	0	500018090	188.9568	\N	\N	10000	0.0038	7479.4316	0.0028	0.93334938446065	500008090	[]	[]	[{"cv": "6a5afa67df11b489a2edf0742dfe4346915bba6e66bddbf55b2f01ee0e3d1318", "cmu": "24ee1047772c47105a06763c0cbb5a2e12d4a339ab3ab4f3d25bf88d0823381e", "proof": "8c3234f5e9b4cabca9dba5154ae62043d40421bbfc882b0129f588214dd670739202ad0e7ee83f5e4d173e4703c0422f8d62d073e6a18fc25c34a17287fab97542d6055bfeeb8dd60500a4e2fe087bd17f76b8485431715f3e85a5907a492e1801002cc457005ebb7400eee5cedd040077b73feee0d77fab929b4d0616ee52934447f9a061efeabb601f32309d3b1629b98111c981394474ad9a6357887c38778e38fbfd59d928d6a23e3e087f96d67ce1de717e7b336b8fe981f98987a86362", "ephemeralKey": "216afd6c19bd823718dc4337277891aca6335ab2a4593c8eff1010baaf1182bd", "encCiphertext": "e03b27f055ed10616f12be605a901ab8012ac19f359061534b1ed7680f0e73805de44bf6e5fe7c99bdb79220e94e2af0e04b0efe53b2c95ac4c24cee1116b0fb3b7ec3dcfc14aba4a1f350b8e6b818533d371a472a2924c368ca10657bf52e9386c47df19fd9c6b20ab6c2782665a4b92da9910392c896924c6a3c9367a399a6cef60e433acd635296e06e462f4c90c5e57b8c05b84b7753afe89b568d71b691819fc5edbb64e1da96d8604ef723999210dc4332c8407b2f6e4ae0f4b80650a22cfbe52bc441409643791c5a23e5f7f7eaace5be1c125fe1711a598c253e5604db08aad33f7c799a5660d7e27e4491ac5ce0f91fc328d29fc8668c8862d802291593538dda66e174660dfc2df7bc0b2218174d62fcb5d291016efca023f4ce6b6ac66b17a0137a2685f2fc187d67ee61f8df16961d9d1d510a9353a7dcf4698ef27b84579d5169f1069bd4a4bee70eae8a36b8e1f377d49a5339df5269d2d11b8348c21a0f208b97c2f4d328bb099df7458a2b274d94c8bef78ed298bdd33abdcf4949dc94b8289ae134922ce11942c4c325dbcdb2bac33a3379a67c4f0a8c64ab361eeff8ee163d05af4b61371c3b9ebd67aecd1c41a0d6c6710749838c2e7b04cf3a5c1ed0210b24eca97a6494e73fd5e5fb6a913cb287927edcffea0c4f53bf41710b7bba49d16c73c1b48945a0726ed2b8bcc9fd212140155ae313f9365de26444ea762090fcab85a42d61291c99528412ee6ee5f454d31d72de06d189f697adc8f43ccb9c7c3d3d312991d6d0a0a211486edced60f69832483d7adb374a02ca94fb", "outCiphertext": "e0f2bbede707294482cb345a8ed7fe0282ef14e14ee9b0a683f0a530775a64b1879b0d99bbc4ffe668cc78186b2479de0d6b4c218df4c3bde766b865eb7f2c769b257423a8c0ff80cb2a8a9776efddb4"}]	906ef0bf6b732776a6a483efa53c7d33790e119340ec7ba6fc130948537bd621c8b2aac4e7e750f0b569601ad94f66d47ffbf025bc3ed61ec396d23f698c600a
2061100	da74a28e43af71b983a4d48a0f75f71f28097d9454adf244659a76806f6ac28e	2023-04-23 00:03:36	1189	1	4	892f2085	2061140	0	0	1	0	250000000	94.475	\N	\N	1000	0.0004	841.0429	0.0003	0.31950231481481	249999000	[]	[]	[{"cv": "58055a713533846c000f93ec949aecb70146528cb983fd2f2fb3b4286c80ef06", "cmu": "41616714578d0c0836217b05f39a9c2b834677f0601512866d2c43ba3ad1acba", "proof": "871bae9a9c9319e47cd006a7af8a63ad5bf338391c44e15b36049b2ea0c568b86f166d01a6015d1cf00bd533dd3d099cafad06c65c304d84bdf5035c0554cd53c4046986277d898bfa4b2b9e906fb64e258f5237b8f93fa3a01ad7591fcf7674043b6ee3bbbc039ff8682ff149149d9e225b15bd3e6da736a9d69e29e3d64c21a48b12a6899dac13a379a3ad59f1e63087e579788f847de3aaaaa74b73e71d4eea513a1199a07a7796f34d6588d6351bdcc2c7546da590462450542949d6406b", "ephemeralKey": "8519c462a146481972babd955369822afcf3c4b67896e2b72f9edd2f147091ab", "encCiphertext": "249defb4fc23825b253ec9ef4613e194c7580266e12d00bcff049195898f8a47ee90d14e24c7e72a2af55e13f84aca16225fa76a188b96d8f01b411215e3c750ce1ef80302cb7ebef3a3d76bde19d7b8febc41f0e0f2d05bb3a97169fb9176bbbb42a06c9a1a708a77e7aed1a78c84e93af4bd864dabb35ebbab55329333c734036ed6932165072b96da29dcc703b97ef48f9feb560453dd80736ed7f747a3a0eb981eba9695dacc5569992411ebc75ff1b3d8e965376b3f04069c6332e261e0b131d06148a84ca32eb2ecd8efdb6c81af61aeea57188a25b03e5e099e345278e44fca21b27e56faf3a88d54bced65936a7a6200d49d498d29c98fd85a2462eddc4801a4fbe4c6abbca212e4b8007a0afa56316440a030a79ea5c963a1b1ba6999854f71df57b1f76f210c149a26d93f0ce58a2b034d22c646bf0dff6414c2daa82fca7c68447bc2582da76a8172bd36e16ca7979e0794c2442ae41ad9b01224b36868952fc3e9f47cc89abdb6de0ec0559ce0196af5a95cfe7da0e33d853aa227ebf253cb55efbafa98a86559e906a67a29bd70a2e3029e16e0d3c12909be0633ebf4945e2059eff604f50dcb7d79a14cbcabe4ac2c89bb3149f5a03348cfd9c325cae730adc06c4917c1ffbc024d5d171a22563f68044b679ac75a7a82c1ea52884d4ab9b4f52f58b9f6dd399da0985c9b3e3f793aebf3912b536910ed79d9c8a06309516ce70370948f20c8738745b7564d980aadc9700c73a531ad4975b35dcc917fb9320b04cfb43b810dd59f704c6d26b6a9d68bbee4fbc61d87171627c92fc22d", "outCiphertext": "f18acbc420deb2e725249bf0e892d78e77615052fa52ada8c05d99ee9cf169cbe5347cbaf0e17715055083005417ec6abb1af671dba828d10ab959b44b50413d390a7bc2e81806c2320cc463487606f0"}]	1f5e742f23fe7274798a26bda07471f16b4f2f3ee4f0e8ed96eb503a5190cce64b27a7e7508f4e554150197668edae3fe65cc9c3bc41ce787516b118b0f37208
